belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,release_date,revenue,runtime,spoken_languages,tagline,title,vote_average,vote_count
"{'id': 4438, 'name': 'The Space Odyssey Series', 'poster_path': '/i1WdRtc6aObiwGz5NU8WWPW3r1N.jpg', 'backdrop_path': '/15FumSExI9SRoL7QJWZAsA0b10c.jpg'}",10500000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}, {'id': 12, 'name': 'Adventure'}]",,62,tt0062622,en,2001: A Space Odyssey,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",22.494622,/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg,"[{'name': 'Stanley Kubrick Productions', 'id': 385}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",4/10/1968,68700000,149,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'PÑƒÑÑÐºÐ¸Ð¹'}]",An epic drama of adventure and exploration,2001: A Space Odyssey,7.9,3075
,30000000,"[{'id': 18, 'name': 'Drama'}]",http://www.milliondollarbaby-derfilm.de/,70,tt0405159,en,Million Dollar Baby,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.",14.471373,/jcfEqKdWF1zeyvECPqp3mkWLct2.jpg,"[{'name': 'Lakeshore Entertainment', 'id': 126}, {'name': 'Malpaso Productions', 'id': 171}, {'name': 'Epsilon Motion Pictures', 'id': 1171}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Albert S. Ruddy Productions', 'id': 16311}]",12/15/2004,216763646,132,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ga', 'name': 'Gaeilge'}]","Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love.",Million Dollar Baby,7.7,2519
,20000000,"[{'id': 18, 'name': 'Drama'}]",http://www.historyx.com/,73,tt0120586,en,American History X,"Derek Vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",18.157166,/euypWkaYFOLW3e5rLIcTAjWnhhT.jpg,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'The Turman-Morrissey Company', 'id': 924}, {'name': 'Savoy Pictures', 'id': 11308}]",10/30/1998,23875127,119,"[{'iso_639_1': 'en', 'name': 'English'}]",Some Legacies Must End.,American History X,8.2,3120
"{'id': 123800, 'name': 'Before... Collection', 'poster_path': '/giaxAC74fht0LVQ4WKVoDzLM2Iy.jpg', 'backdrop_path': '/wtNugZq8ZzBYwPIh3VoNUJdkBWG.jpg'}",2500000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,76,tt0112471,en,Before Sunrise,"A dialogue marathon of a film, this fairytale love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.",11.304979,/jsQy4ZbPHA8hE2O6QU05PpofI61.jpg,"[{'name': 'Detour Film Production', 'id': 98}, {'name': 'Warner Bros.', 'id': 6194}]",1/27/1995,5535405,105,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'fr', 'name': 'FranÃ§ais'}]",Can the greatest romance of your life last only one night?,Before Sunrise,7.7,984
,9000000,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",http://www.otnemem.com/,77,tt0209144,en,Memento,"Suffering short-term memory loss after a head injury, Leonard Shelby embarks on a grim quest to find the lowlife who murdered his wife in this gritty, complex thriller that packs more knots than a hangman's noose. To carry out his plan, Shelby snaps Polaroids of people and places, jotting down contextual notes on the backs of photos to aid in his search and jog his memory. He even tattoos his own body in a desperate bid to remember.",15.450789,/nWtySDlffTfwAa0rSfq61o33ZXV.jpg,"[{'name': 'Summit Entertainment', 'id': 491}, {'name': 'Newmarket Capital Group', 'id': 506}, {'name': 'Team Todd', 'id': 598}, {'name': 'I Remember Productions', 'id': 34446}]",10/11/2000,39723096,113,"[{'iso_639_1': 'en', 'name': 'English'}]",Some memories are best forgotten.,Memento,8.1,4168
"{'id': 422837, 'name': 'Blade Runner Collection', 'poster_path': '/foT46aJ7QPUFDl3CK8ArDl0JaZX.jpg', 'backdrop_path': '/57zhlMYblPute6qb8v16ZmGSPVv.jpg'}",28000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",http://www.warnerbros.com/blade-runner,78,tt0083658,en,Blade Runner,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",96.272374,/63N9uy8nd9j7Eog2axPQ8lbr3Wj.jpg,"[{'name': 'Shaw Brothers', 'id': 5798}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'The Ladd Company', 'id': 7965}]",6/25/1982,33139618,117,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'cn', 'name': 'å¹¿å·žè¯ / å»£å·žè©±'}, {'iso_639_1': 'ja', 'name': 'æ—¥æœ¬èªž'}, {'iso_639_1': 'hu', 'name': 'Magyar'}]",Man has made his match... now it's his problem.,Blade Runner,7.9,3833
"{'id': 123800, 'name': 'Before... Collection', 'poster_path': '/giaxAC74fht0LVQ4WKVoDzLM2Iy.jpg', 'backdrop_path': '/wtNugZq8ZzBYwPIh3VoNUJdkBWG.jpg'}",2700000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",http://www.warnerbros.com/?site=beforesunset#/page=movies&pid=f-57b53b9e/BEFORE_SUNSET&asset=059437/Before_Sunset_-_Trailer_1A&type=video/,80,tt0381681,en,Before Sunset,Nine years ago two strangers met by chance and spent a night in Vienna that ended before sunrise. They are about to meet for the first time since. Now they have one afternoon to find out if they belong together.,7.048957,/gycdE1ARByGQcK4fYR2mgpU6OO.jpg,"[{'name': 'Castle Rock Entertainment', 'id': 97}, {'name': 'Detour Film Production', 'id': 98}, {'name': 'Warner Independent Pictures (WIP)', 'id': 11509}]",2/10/2004,15992615,80,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'FranÃ§ais'}]",What if you had a second chance with the one that got away?,Before Sunset,7.6,734
"{'id': 84, 'name': 'Indiana Jones Collection', 'poster_path': '/lpxDrACKJhbbGOlwVMNz5YCj6SI.jpg', 'backdrop_path': '/6kh59mZizZsttZPR0HAdXk6Ve2n.jpg'}",18000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",http://www.indianajones.com,85,tt0082971,en,Raiders of the Lost Ark,"When Dr. Indiana Jones â€“ the tweed-suited professor who just happens to be a celebrated archaeologist â€“ is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",19.901576,/ceG9VzoRAVGwivFU403Wc3AHRys.jpg,"[{'name': 'Lucasfilm', 'id': 1}, {'name': 'Paramount Pictures', 'id': 4}]",6/12/1981,389925971,115,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'EspaÃ±ol'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'he', 'name': '×¢Ö´×‘Ö°×¨Ö´×™×ª'}, {'iso_639_1': 'ar', 'name': 'Ø§Ù„Ø¹Ø±Ø¨ÙŠØ©'}, {'iso_639_1': 'ne', 'name': ''}]",Indiana Jones - the new hero from the creators of JAWS and STAR WARS.,Raiders of the Lost Ark,7.7,3949
"{'id': 84, 'name': 'Indiana Jones Collection', 'poster_path': '/lpxDrACKJhbbGOlwVMNz5YCj6SI.jpg', 'backdrop_path': '/6kh59mZizZsttZPR0HAdXk6Ve2n.jpg'}",48000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",http://www.indianajones.com/crusade,89,tt0097576,en,Indiana Jones and the Last Crusade,"When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana must team up with Marcus Brody, Sallah and Elsa Schneider to follow in his father's footsteps and stop the Nazis from recovering the power of eternal life.",14.788987,/sizg1AU8f8JDZX4QIgE4pjUMBvx.jpg,"[{'name': 'Lucasfilm', 'id': 1}, {'name': 'Paramount Pictures', 'id': 4}]",5/24/1989,474171806,127,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'el', 'name': 'ÎµÎ»Î»Î·Î½Î¹ÎºÎ¬'}, {'iso_639_1': 'en', 'name': 'English'}]","The man with the hat is back. And this time, he's bringing his Dad.",Indiana Jones and the Last Crusade,7.6,3221
,103000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}]",,98,tt0172495,en,Gladiator,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos. Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor. As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed. He escapes, but is captured by slave traders. Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences. His battle skills serve him well, and he becomes one of the most famous and admired men to fight in the Colosseum. Determined to avenge himself against the man who took away his freedom and laid waste to his family, Maximus believes that he can use his fame and skill in the ring to avenge the loss of his family and former glory. As the gladiator begins to challenge his rule, Commodus decides to put his own fighting mettle to the test by squaring off with Maximus in a battle to the death.",23.186667,/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg,"[{'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Universal Pictures', 'id': 33}, {'name': 'Scott Free Productions', 'id': 1645}, {'name': 'Red Wagon Entertainment', 'id': 14440}, {'name': 'Mill Film', 'id': 21904}, {'name': 'C & L', 'id': 21905}, {'name': 'Dawliz', 'id': 21906}]",5/1/2000,457640427,155,"[{'iso_639_1': 'en', 'name': 'English'}]",A Hero Will Rise.,Gladiator,7.9,5566
,1350000,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",http://www.universalstudiosentertainment.com/lock-stock-and-two-smoking-barrels/,100,tt0120735,en,"Lock, Stock and Two Smoking Barrels",A card sharp and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.,4.60786,/wt2TRBmFmBn5M5MBcPTwovlREaB.jpg,"[{'name': 'Handmade Films Ltd.', 'id': 146}, {'name': 'Summit Entertainment', 'id': 491}, {'name': 'PolyGram Filmed Entertainment', 'id': 1382}, {'name': 'SKA Films', 'id': 13419}, {'name': 'The Steve Tisch Company', 'id': 21920}]",3/5/1998,3897569,105,"[{'iso_639_1': 'en', 'name': 'English'}]",A Disgrace to Criminals Everywhere.,"Lock, Stock and Two Smoking Barrels",7.5,1671
,1300000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",,103,tt0075314,en,Taxi Driver,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",14.092713,/ekstpH614fwDX8DUln1a2Opz0N8.jpg,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Italo/Judeo Productions', 'id': 46059}, {'name': 'Bill/Phillips', 'id': 46060}]",2/7/1976,28262574,114,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'EspaÃ±ol'}]","On every street in every city, there's a nobody who dreams of being a somebody.",Taxi Driver,8.1,2632
"{'id': 264, 'name': 'Back to the Future Collection', 'poster_path': '/UV8VEgAxgKVnCVnZhFACmhxjE4.jpg', 'backdrop_path': '/c9C9Pg2QctyjZHRmS0P8rZg1OTA.jpg'}",19000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}]",http://www.backtothefuture.com/movies/backtothefuture1,105,tt0088763,en,Back to the Future,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",25.778509,/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}, {'name': 'U-Drive Productions', 'id': 20448}]",7/3/1985,381109762,116,"[{'iso_639_1': 'en', 'name': 'English'}]",He's the only kid ever to get into trouble before he was born.,Back to the Future,8,6239
,10000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",,107,tt0208092,en,Snatch,"The second film from British director Guy Ritchie. Snatch tells an obscure story similar to his first fast-paced crazy character-colliding filled film â€œLock, Stock and Two Smoking Barrels.â€ There are two overlapping stories here â€“ one is the search for a stolen diamond, and the other about a boxing promoter whoâ€™s having trouble with a psychotic gangster.",14.014025,/8KSDI7ijEv7QVZdIyrLw5Gnhhr8.jpg,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Screen Gems', 'id': 3287}, {'name': 'SKA Films', 'id': 13419}]",9/1/2000,83557872,103,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'PÑƒÑÑÐºÐ¸Ð¹'}]",Stealin' Stones and Breakin' Bones.,Snatch,7.7,2953
,25000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,111,tt0086250,en,Scarface,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",11.299673,/iQ5ztdjvteGeboxtmRdXEChJOHh.jpg,"[{'name': 'Universal Pictures', 'id': 33}]",12/8/1983,65884703,170,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'EspaÃ±ol'}]",The world is yours...,Scarface,8,3017
,15000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",http://www.biglebowskibluray.com/splash.php,115,tt0118715,en,The Big Lebowski,"Jeffrey ""The Dude"" Lebowski, a Los Angeles slacker who only wants to bowl and drink white Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.",15.952524,/9mprbw31MGdd66LR0AQKoDMoFRv.jpg,"[{'name': 'Gramercy Pictures', 'id': 37}, {'name': 'PolyGram Filmed Entertainment', 'id': 1382}, {'name': 'Working Title Films', 'id': 10163}]",3/6/1998,46189568,117,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'he', 'name': '×¢Ö´×‘Ö°×¨Ö´×™×ª'}, {'iso_639_1': 'es', 'name': 'EspaÃ±ol'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Times like these call for a Big Lebowski.,The Big Lebowski,7.8,3001
"{'id': 119, 'name': 'The Lord of the Rings Collection', 'poster_path': '/p4UokEk2XnjjRTdXGe6DLYXlbI1.jpg', 'backdrop_path': '/bccR2CGTWVVSZAG0yqmy3DIvhTX.jpg'}",93000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",http://www.lordoftherings.net/,120,tt0120737,en,The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",32.070725,/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,"[{'name': 'WingNut Films', 'id': 11}, {'name': 'New Line Cinema', 'id': 12}, {'name': 'The Saul Zaentz Company', 'id': 5237}]",12/18/2001,871368364,178,"[{'iso_639_1': 'en', 'name': 'English'}]",One ring to rule them all,The Lord of the Rings: The Fellowship of the Ring,8,8892
"{'id': 119, 'name': 'The Lord of the Rings Collection', 'poster_path': '/p4UokEk2XnjjRTdXGe6DLYXlbI1.jpg', 'backdrop_path': '/bccR2CGTWVVSZAG0yqmy3DIvhTX.jpg'}",79000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",http://www.lordoftherings.net/,121,tt0167261,en,The Lord of the Rings: The Two Towers,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",29.423537,/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,"[{'name': 'WingNut Films', 'id': 11}, {'name': 'New Line Cinema', 'id': 12}, {'name': 'The Saul Zaentz Company', 'id': 5237}]",12/18/2002,926287400,179,"[{'iso_639_1': 'en', 'name': 'English'}]",A New Power Is Rising.,The Lord of the Rings: The Two Towers,8,7641
"{'id': 119, 'name': 'The Lord of the Rings Collection', 'poster_path': '/p4UokEk2XnjjRTdXGe6DLYXlbI1.jpg', 'backdrop_path': '/bccR2CGTWVVSZAG0yqmy3DIvhTX.jpg'}",94000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",http://www.lordoftherings.net,122,tt0167260,en,The Lord of the Rings: The Return of the King,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.",29.324358,/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,"[{'name': 'WingNut Films', 'id': 11}, {'name': 'New Line Cinema', 'id': 12}]",12/1/2003,1118888979,201,"[{'iso_639_1': 'en', 'name': 'English'}]",The eye of the enemy is moving.,The Lord of the Rings: The Return of the King,8.1,8226
